state,lga_id,lga_name,sa2_count,mean_remoteness_score,worst_remoteness_score,coping_capacity,adaptive_capacity,andri,social_character,economic_capital,planning_build_environment,emergency_services,information_access,govt_leadership,community_social_engagement,community_capital
ACT,1666,Unincorporated ACT,106,1.0,1,0.3584,0.6549,0.5814,0.8134,0.5312,0.2227,0.1137,0.3356,0.6563,0.6208,0.7061
NSW,1107,Albury,5,2.0,2,0.6404,0.6264,0.6922,0.6262,0.6768,0.598,0.6098,0.4453,0.6315,0.606,0.59
NSW,1108,Armidale,5,2.077,3,0.4984,0.6976,0.6723,0.6838,0.4406,0.6522,0.6178,0.2079,0.7236,0.6031,0.5141
NSW,1109,Ballina,4,2.0,2,0.7025,0.6629,0.7511,0.6552,0.7195,0.5283,0.6064,0.6138,0.6761,0.6099,0.6113
NSW,1110,Balranald,1,3.0,3,0.4218,0.4718,0.4757,0.6413,0.5113,0.4017,0.5556,0.1018,0.5371,0.4367,0.5351
NSW,1111,Bathurst,6,2.0,2,0.7547,0.7308,0.8295,0.9213,0.7825,0.6667,0.6126,0.6465,0.6822,0.7357,0.4335
NSW,1112,Bayside (NSW),13,1.0,1,0.5766,0.4717,0.5488,0.4503,0.7056,0.4419,0.4538,0.6839,0.6,0.3376,0.4427
NSW,1113,Bega Valley,7,2.99,3,0.5112,0.6636,0.6533,0.8166,0.6406,0.4223,0.5953,0.1427,0.6857,0.5962,0.5369
NSW,1114,Bellingen,4,2.0,2,0.634,0.5882,0.6617,0.6184,0.6031,0.618,0.6323,0.439,0.6364,0.5221,0.6296
NSW,1115,Berrigan,1,2.0,2,0.4977,0.5489,0.5649,0.6244,0.5798,0.5872,0.5028,0.0993,0.5724,0.5407,0.6228
NSW,1116,Blacktown,23,1.0,1,0.537,0.4587,0.521,0.465,0.6473,0.4995,0.5111,0.708,0.6102,0.2925,0.315
NSW,1117,Bland,2,3.0,3,0.4527,0.555,0.5488,0.7567,0.4967,0.4123,0.6023,0.1241,0.6331,0.4595,0.5418
NSW,1118,Blayney,1,2.0,2,0.7246,0.7039,0.7929,0.7295,0.705,0.6281,0.6314,0.6228,0.6891,0.672,0.5502
NSW,1119,Blue Mountains,7,1.075,2,0.8279,0.5394,0.7378,0.6703,0.7486,0.6561,0.56,0.7072,0.5257,0.5882,0.7879
NSW,1120,Bogan,3,3.062,5,0.4038,0.4769,0.4716,0.6651,0.5365,0.3974,0.6368,0.0893,0.5278,0.4612,0.3825
NSW,1121,Bourke,1,5.0,5,0.294,0.4179,0.3849,0.5893,0.4472,0.3994,0.6267,0.0756,0.4933,0.3911,0.1347
