state,lga_id,lga_name,sa2_count,mean_remoteness_score,worst_remoteness_score,coping_capacity,adaptive_capacity,andri,social_character,economic_capital,planning_build_environment,emergency_services,information_access,govt_leadership,community_social_engagement,community_capital
QLD,1320,Aurukun,1,5.0,5,0.0369,0.0,0.0,0.1892,0.0544,0.3148,0.2325,0.0091,0.1021,0.0419,0.0623
QLD,1321,Balonne,1,4.0,4,0.3994,0.3963,0.4122,0.6548,0.4607,0.6117,0.389,0.085,0.4774,0.3701,0.4699
QLD,1322,Banana,2,3.0,3,0.4099,0.4284,0.4395,0.8475,0.4369,0.5216,0.4128,0.1157,0.4264,0.5099,0.4501
QLD,1323,Barcaldine,1,5.0,5,0.4309,0.4202,0.4428,0.8073,0.426,0.5404,0.4515,0.0842,0.6057,0.2209,0.5195
QLD,1324,Barcoo,1,5.0,5,0.3681,0.4241,0.4189,0.7411,0.4701,0.4698,0.357,0.0882,0.6176,0.2098,0.4284
QLD,1325,Blackall Tambo,1,5.0,5,0.4309,0.4202,0.4428,0.8073,0.426,0.5404,0.4515,0.0842,0.6057,0.2209,0.5195
QLD,1326,Boulia,1,5.0,5,0.3681,0.4241,0.4189,0.7411,0.4701,0.4698,0.357,0.0882,0.6176,0.2098,0.4284
QLD,1327,Brisbane,130,1.0,1,0.6171,0.6652,0.708,0.5723,0.7568,0.5223,0.3881,0.6179,0.6988,0.5745,0.6074
QLD,1328,Bulloo,1,5.0,5,0.3602,0.3927,0.3932,0.6583,0.3959,0.47,0.4428,0.0702,0.5725,0.2157,0.4413
QLD,1329,Bundaberg,12,2.0,2,0.4696,0.4694,0.4964,0.5174,0.6118,0.4689,0.4268,0.3714,0.539,0.4284,0.4786
QLD,1330,Burdekin,3,3.0,3,0.4425,0.4947,0.5011,0.7578,0.5984,0.6516,0.4153,0.0927,0.497,0.5424,0.3821
QLD,1331,Burke,1,5.0,5,0.2123,0.2905,0.2639,0.5313,0.4003,0.3512,0.45,0.0483,0.4513,0.1848,0.0745
QLD,1332,Cairns,20,3.0,3,0.467,0.6171,0.6004,0.6614,0.6933,0.4914,0.4559,0.3686,0.6623,0.5388,0.2951
QLD,1333,Carpentaria,1,5.0,5,0.2123,0.2905,0.2639,0.5313,0.4003,0.3512,0.45,0.0483,0.4513,0.1848,0.0745
QLD,1334,Cassowary Coast,4,3.0,3,0.3875,0.5594,0.5236,0.6248,0.581,0.502,0.4456,0.0899,0.6175,0.493,0.3613
QLD,1335,Central Highlands (Qld),3,3.694,4,0.4274,0.468,0.4758,0.7305,0.4723,0.6114,0.4263,0.125,0.5753,0.3702,0.469
QLD,1336,Charters Towers,2,3.999,4,0.4168,0.5001,0.4937,0.8939,0.5552,0.474,0.4055,0.0869,0.5479,0.4785,0.3891
QLD,1337,Cherbourg,1,2.0,2,0.2963,0.4153,0.384,0.4521,0.5127,0.4226,0.4105,0.0797,0.496,0.3818,0.2906
QLD,1338,Cloncurry,1,4.0,4,0.312,0.3274,0.3273,0.7066,0.466,0.4084,0.4478,0.1097,0.452,0.263,0.2171
QLD,1339,Cook,2,4.0,5,0.2935,0.3123,0.3093,0.5131,0.4869,0.453,0.4082,0.0569,0.473,0.1986,0.2582
QLD,1340,Croydon,1,5.0,5,0.3357,0.3323,0.3402,0.9877,0.4113,0.2915,0.3043,0.0812,0.4845,0.224,0.4067
QLD,1341,Diamantina,1,5.0,5,0.3681,0.4241,0.4189,0.7411,0.4701,0.4698,0.357,0.0882,0.6176,0.2098,0.4284
QLD,1342,Doomadgee,1,5.0,5,0.2123,0.2905,0.2639,0.5313,0.4003,0.3512,0.45,0.0483,0.4513,0.1848,0.0745
QLD,1343,Douglas,2,3.0,3,0.408,0.5659,0.5371,0.6113,0.6633,0.6211,0.3946,0.1477,0.6258,0.4929,0.2958
QLD,1344,Etheridge,1,5.0,5,0.3357,0.3323,0.3402,0.9877,0.4113,0.2915,0.3043,0.0812,0.4845,0.224,0.4067
QLD,1345,Flinders (Qld),1,5.0,5,0.4024,0.3565,0.385,0.8157,0.4996,0.517,0.4485,0.0998,0.4973,0.2562,0.3629
QLD,1346,Fraser Coast,13,2.388,3,0.3881,0.4267,0.4294,0.5134,0.6716,0.3662,0.4346,0.129,0.4777,0.4323,0.4312
QLD,1347,Gladstone,8,2.0,2,0.4544,0.5061,0.5146,0.652,0.6665,0.5582,0.4304,0.1358,0.5203,0.5313,0.435
QLD,1348,Gold Coast,53,1.0,1,0.6044,0.6508,0.6906,0.6191,0.7539,0.5803,0.3963,0.56,0.699,0.5482,0.5069
QLD,1349,Goondiwindi,3,3.0,3,0.3314,0.4599,0.4297,0.6729,0.4147,0.516,0.3868,0.102,0.5132,0.4483,0.3144
QLD,1350,Gympie,7,2.0,2,0.4372,0.475,0.4848,0.6286,0.6084,0.3976,0.4373,0.1948,0.5199,0.4691,0.5486
QLD,1351,Hinchinbrook,2,3.0,3,0.4328,0.5014,0.5016,0.7393,0.549,0.634,0.4128,0.078,0.4992,0.5532,0.4225
QLD,1352,Hope Vale,1,4.0,4,0.2935,0.3123,0.3093,0.5131,0.4869,0.453,0.4082,0.0569,0.473,0.1986,0.2582
QLD,1353,Ipswich,22,1.008,2,0.4664,0.4583,0.4865,0.5871,0.7021,0.4207,0.4345,0.6021,0.5229,0.4296,0.217
QLD,1354,Isaac,3,3.471,4,0.4533,0.4491,0.4734,0.7551,0.4822,0.6433,0.4178,0.1288,0.5049,0.4383,0.5184
QLD,1355,Kowanyama,1,5.0,5,0.1392,0.145,0.1351,0.3527,0.0568,0.7829,0.1458,0.0283,0.2771,0.1237,0.1269
QLD,1356,Livingstone,5,2.882,3,0.5488,0.5865,0.6164,0.8482,0.7454,0.6031,0.4472,0.1817,0.6273,0.5325,0.4752
QLD,1357,Lockhart River,1,4.0,4,0.2935,0.3123,0.3093,0.5131,0.4869,0.453,0.4082,0.0569,0.473,0.1986,0.2582
QLD,1358,Lockyer Valley,3,2.0,2,0.5379,0.6135,0.6303,0.6525,0.7461,0.4892,0.4425,0.5943,0.6569,0.5384,0.2915
QLD,1359,Logan,33,1.0,1,0.4871,0.5427,0.5575,0.5408,0.6999,0.4782,0.4011,0.5997,0.596,0.4908,0.3028
QLD,1360,Longreach,1,5.0,5,0.5014,0.4207,0.475,0.7046,0.6579,0.5684,0.4577,0.1097,0.5758,0.2701,0.5518
QLD,1361,Mackay,16,2.85,3,0.4814,0.5747,0.5762,0.7534,0.7074,0.4939,0.4362,0.1835,0.6321,0.5009,0.4465
QLD,1363,Mapoon,1,4.0,4,0.2935,0.3123,0.3093,0.5131,0.4869,0.453,0.4082,0.0569,0.473,0.1986,0.2582
QLD,1364,Maranoa,3,3.998,4,0.456,0.49,0.5038,0.8761,0.4586,0.5664,0.3883,0.1122,0.5399,0.47,0.5813
QLD,1365,Mareeba,4,3.98,4,0.4204,0.3145,0.3628,0.6847,0.5529,0.6066,0.4468,0.1011,0.4776,0.1961,0.3833
QLD,1362,McKinlay,1,5.0,5,0.4024,0.3565,0.385,0.8157,0.4996,0.517,0.4485,0.0998,0.4973,0.2562,0.3629
QLD,1366,Moreton Bay,36,1.053,2,0.6076,0.5571,0.6254,0.6664,0.7836,0.4285,0.3852,0.6039,0.557,0.5778,0.5389
QLD,1367,Mornington,1,5.0,5,0.2123,0.2905,0.2639,0.5313,0.4003,0.3512,0.45,0.0483,0.4513,0.1848,0.0745
QLD,1368,Mount Isa,3,4.174,5,0.2947,0.321,0.3163,0.6758,0.4546,0.3985,0.4482,0.0998,0.4518,0.2495,0.1921
QLD,1369,Murweh,1,5.0,5,0.4252,0.4216,0.4413,0.5523,0.5862,0.5215,0.4598,0.0819,0.5919,0.2462,0.4971
QLD,1370,Napranum,1,4.0,4,0.2935,0.3123,0.3093,0.5131,0.4869,0.453,0.4082,0.0569,0.473,0.1986,0.2582
QLD,1371,Noosa,6,1.0,1,0.6261,0.6398,0.6933,0.6911,0.8363,0.4592,0.4205,0.521,0.6685,0.5759,0.5749
