sa2_code,sa2_name,state_name,remoteness,remoteness_score,analysis_year,sa4_name,gccsa_name,coping_capacity,adaptive_capacity,andri,social_character,economic_capital,planning_build_environment,emergency_services,information_access,govt_leadership,community_social_engagement,community_capital,andri_quartile,coping_capacity_quartile,adaptive_capacity_quartile,lga_names
206071139,Abbotsford,VIC,Metropolitan,1,2024,Melbourne - Inner,Greater Melbourne,0.6795,0.7457,0.7975,0.5656,0.6126,0.1680,0.6186,0.9765,0.8336,0.5179,0.7229,H75,HC,HA,Yarra
403041071,Aberfoyle Park,SA,Metropolitan,1,2024,Adelaide - South,Greater Adelaide,0.8044,0.5744,0.7472,0.6569,0.7976,0.6799,0.5104,0.6754,0.5599,0.6108,0.6938,H75,HC,MA,Onkaparinga
116021562,Acacia Gardens,NSW,Metropolitan,1,2024,Sydney - Blacktown,Greater Sydney,0.5427,0.4587,0.5219,0.5703,0.7181,0.2618,0.4977,0.7082,0.4553,0.5302,0.3953,M50,MC,LA,Blacktown
604011075,Acton - Upper Burnie,TAS,Outer regional,3,2024,West and North West,Rest of Tas.,0.3801,0.3821,0.3939,0.3434,0.4738,0.1887,0.6595,0.3928,0.5482,0.2316,0.6474,L25,LC,LA,Burnie
801111140,ACT - South West,ACT,Metropolitan,1,2024,Australian Capital Territory,Australian Capital Territory,0.2916,0.6376,0.5409,1.0000,0.5149,0.2247,0.0000,0.1296,0.6227,0.6425,0.6843,M50,LC,MA,Unincorporated ACT
111031222,Adamstown - Kotara,NSW,Metropolitan,1,2024,Newcastle and Lake Macquarie,Rest of NSW,0.7898,0.7440,0.8596,0.6348,0.7665,0.5070,0.6278,0.7082,0.7009,0.7330,0.6652,H75,HC,HA,Newcastle; Lake Macquarie
401011001,Adelaide,SA,Metropolitan,1,2024,Adelaide - Central and Hills,Greater Adelaide,0.4990,0.8970,0.8141,0.3158,0.5934,0.3686,0.6221,0.8041,0.9778,0.5681,0.2971,H75,MC,HA,Adelaide
401021003,Adelaide Hills,SA,Metropolitan,1,2024,Adelaide - Central and Hills,Greater Adelaide,1.0000,0.7485,1.0000,0.9171,0.9364,0.5236,0.5789,0.7654,0.7217,0.7088,0.8806,H75,HC,HA,Adelaide Hills
308051530,Agnes Water - Miriam Vale,QLD,Inner regional,2,2024,Fitzroy,Rest of Qld,0.4329,0.4925,0.4953,0.6317,0.5920,0.6225,0.4083,0.1273,0.5522,0.4564,0.4311,L25,LC,MA,Gladstone
801051050,Ainslie,ACT,Metropolitan,1,2024,Australian Capital Territory,Australian Capital Territory,0.4309,0.8223,0.7299,0.5204,0.5549,0.1380,0.2650,0.5987,0.8511,0.6423,0.8443,H75,LC,HA,Unincorporated ACT
