sa2_code,sa2_name,state_name,remoteness,remoteness_score,analysis_year,sa4_name,gccsa_name,coping_capacity,adaptive_capacity,andri,social_character,economic_capital,planning_build_environment,emergency_services,information_access,govt_leadership,community_social_engagement,community_capital,andri_quartile,coping_capacity_quartile,adaptive_capacity_quartile,lga_names
308051530,Agnes Water - Miriam Vale,QLD,Inner regional,2,2024,Fitzroy,Rest of Qld,0.4329,0.4925,0.4953,0.6317,0.5920,0.6225,0.4083,0.1273,0.5522,0.4564,0.4311,L25,LC,MA,Gladstone
312031359,Airlie - Whitsundays,QLD,Remote,4,2024,Mackay,Rest of Qld,0.4092,0.4329,0.4425,0.5811,0.5142,0.6543,0.4342,0.1193,0.5034,0.4073,0.4243,L25,LC,LA,Whitsunday
318021467,Aitkenvale,QLD,Outer regional,3,2024,Townsville,Rest of Qld,0.5197,0.5168,0.5523,0.3850,0.7532,0.4762,0.4717,0.5966,0.6238,0.3953,0.3569,M50,MC,MA,Townsville
314011382,Albany Creek,QLD,Metropolitan,1,2024,Moreton Bay - South,Greater Brisbane,0.6978,0.5456,0.6647,0.7227,0.8243,0.5413,0.3539,0.6039,0.4045,0.7747,0.7018,M50,HC,MA,Moreton Bay
305031119,Albion,QLD,Metropolitan,1,2024,Brisbane Inner City,Greater Brisbane,0.5657,0.6844,0.6944,0.5067,0.6183,0.3505,0.4668,0.6180,0.7635,0.5121,0.6304,M50,MC,HA,Brisbane
305031120,Alderley,QLD,Metropolitan,1,2024,Brisbane Inner City,Greater Brisbane,0.6479,0.7052,0.7515,0.6462,0.7297,0.3405,0.4696,0.6180,0.7237,0.6194,0.7645,H75,MC,HA,Brisbane
301011001,Alexandra Hills,QLD,Metropolitan,1,2024,Brisbane - East,Greater Brisbane,0.6749,0.4748,0.6016,0.6254,0.7856,0.6432,0.3667,0.5997,0.4917,0.5104,0.6334,M50,HC,MA,Redland
303051072,Algester,QLD,Metropolitan,1,2024,Brisbane - South,Greater Brisbane,0.4870,0.4939,0.5207,0.4070,0.6892,0.2337,0.4169,0.6180,0.5978,0.3891,0.5487,L25,MC,MA,Brisbane
312021342,Andergrove - Beaconsfield,QLD,Inner regional,2,2024,Mackay,Rest of Qld,0.6124,0.5106,0.5939,0.5151,0.6937,0.6908,0.4305,0.5966,0.5751,0.4586,0.4977,M50,MC,MA,Mackay
318021468,Annandale (Qld),QLD,Outer regional,3,2024,Townsville,Rest of Qld,0.6282,0.5725,0.6463,0.6635,0.6781,0.8576,0.4709,0.5966,0.5140,0.6744,0.3773,M50,MC,MA,Townsville
303021052,Annerley,QLD,Metropolitan,1,2024,Brisbane - South,Greater Brisbane,0.5317,0.5662,0.5934,0.5013,0.5818,0.2703,0.4484,0.6180,0.6783,0.4101,0.7303,M50,MC,MA,Brisbane
316021417,Aroona - Currimundi,QLD,Metropolitan,1,2024,Sunshine Coast,Rest of Qld,0.7244,0.6176,0.7311,0.5837,0.7806,0.7305,0.4407,0.5994,0.5815,0.6650,0.7056,H75,HC,MA,Sunshine Coast
309031235,Arundel,QLD,Metropolitan,1,2024,Gold Coast,Rest of Qld,0.6564,0.6246,0.6985,0.4512,0.7926,0.8145,0.4004,0.6066,0.6864,0.5169,0.5492,M50,MC,MA,Gold Coast
305031121,Ascot,QLD,Metropolitan,1,2024,Brisbane Inner City,Greater Brisbane,0.6040,0.8011,0.7970,0.5891,0.7533,0.3012,0.4639,0.6180,0.8422,0.6150,0.6547,H75,MC,HA,Brisbane
319011492,Ashfield - Kepnock,QLD,Inner regional,2,2024,Wide Bay,Rest of Qld,0.4871,0.5094,0.5318,0.3787,0.5285,0.4618,0.4397,0.5580,0.5481,0.4971,0.5415,M50,MC,MA,Bundaberg
305041132,Ashgrove,QLD,Metropolitan,1,2024,Brisbane Inner City,Greater Brisbane,0.6711,0.8620,0.8760,0.6766,0.7879,0.3384,0.4657,0.6180,0.7933,0.8174,0.7690,H75,HC,HA,Brisbane
309091263,Ashmore,QLD,Metropolitan,1,2024,Gold Coast,Rest of Qld,0.6638,0.6042,0.6879,0.4941,0.8118,0.5980,0.4176,0.6066,0.6620,0.5141,0.6140,M50,HC,MA,Gold Coast
302021027,Aspley,QLD,Metropolitan,1,2024,Brisbane - North,Greater Brisbane,0.6997,0.6214,0.7199,0.5591,0.8460,0.4388,0.4545,0.6180,0.6342,0.5925,0.7612,H75,HC,MA,Brisbane
306051166,Atherton,QLD,Outer regional,3,2024,Cairns,Rest of Qld,0.5238,0.5521,0.5795,0.5239,0.6730,0.5470,0.4621,0.5096,0.5686,0.5530,0.4137,M50,MC,MA,Tablelands
305041133,Auchenflower,QLD,Metropolitan,1,2024,Brisbane Inner City,Greater Brisbane,0.5546,0.7378,0.7270,0.6123,0.6154,0.2228,0.4689,0.6180,0.7202,0.6900,0.7771,H75,MC,HA,Brisbane
310041565,Augustine Heights - Brookwater,QLD,Metropolitan,1,2024,Ipswich,Greater Brisbane,0.4871,0.3464,0.4153,0.6027,0.6431,0.7964,0.4421,0.6058,0.4135,0.3595,0.0934,L25,MC,LA,Ipswich
315011395,Aurukun,QLD,Very remote,5,2024,Queensland - Outback,Rest of Qld,0.0369,0.0000,0.0000,0.1892,0.0544,0.3148,0.2325,0.0091,0.1021,0.0419,0.0623,L25,LC,LA,Aurukun
318011460,Ayr,QLD,Outer regional,3,2024,Townsville,Rest of Qld,0.5241,0.4496,0.5065,0.5177,0.6565,0.6013,0.4182,0.5258,0.4520,0.5166,0.4192,L25,MC,LA,Burdekin
306031158,Babinda,QLD,Outer regional,3,2024,Cairns,Rest of Qld,0.4032,0.6247,0.5768,0.7506,0.6529,0.4146,0.4469,0.1253,0.6596,0.5594,0.3352,M50,LC,MA,Cassowary Coast; Cairns
302011022,Bald Hills,QLD,Metropolitan,1,2024,Brisbane - North,Greater Brisbane,0.7010,0.5368,0.6602,0.5694,0.7878,0.6051,0.4435,0.6180,0.5767,0.5096,0.6471,M50,HC,MA,Brisbane
305021113,Balmoral,QLD,Metropolitan,1,2024,Brisbane Inner City,Greater Brisbane,0.5792,0.7710,0.7629,0.6480,0.7811,0.2162,0.4518,0.6180,0.7616,0.6893,0.6608,H75,MC,HA,Brisbane
307011171,Balonne,QLD,Remote,4,2024,Darling Downs - Maranoa,Rest of Qld,0.3994,0.3963,0.4122,0.6548,0.4607,0.6117,0.3890,0.0850,0.4774,0.3701,0.4699,L25,LC,LA,Balonne
308041528,Banana,QLD,Outer regional,3,2024,Fitzroy,Rest of Qld,0.4098,0.4284,0.4395,0.8477,0.4368,0.5215,0.4128,0.1154,0.4264,0.5099,0.4501,L25,LC,LA,Banana
315031408,Barcaldine - Blackall,QLD,Very remote,5,2024,Queensland - Outback,Rest of Qld,0.4309,0.4202,0.4428,0.8073,0.4260,0.5404,0.4515,0.0842,0.6057,0.2209,0.5195,L25,LC,LA,Blackall Tambo; Barcaldine
305041134,Bardon,QLD,Metropolitan,1,2024,Brisbane Inner City,Greater Brisbane,0.5800,0.8966,0.8530,0.7152,0.7077,0.2062,0.4668,0.6180,0.7711,0.9206,0.7223,H75,MC,HA,Brisbane
319011493,Bargara - Burnett Heads,QLD,Inner regional,2,2024,Wide Bay,Rest of Qld,0.5742,0.5386,0.5945,0.5569,0.6819,0.4969,0.4376,0.5580,0.5564,0.5441,0.5187,M50,MC,MA,Bundaberg
313011362,Beachmere - Sandstone Point,QLD,Metropolitan,1,2024,Moreton Bay - North,Greater Brisbane,0.5357,0.4773,0.5318,0.4613,0.6913,0.4080,0.3427,0.6039,0.5388,0.4455,0.5304,M50,MC,MA,Moreton Bay
311011305,Beaudesert,QLD,Inner regional,2,2024,Logan - Beaudesert,Greater Brisbane,0.4342,0.4398,0.4583,0.4948,0.7071,0.4191,0.4325,0.1256,0.5409,0.3648,0.4992,L25,LC,LA,Scenic Rim
311021306,Beenleigh,QLD,Metropolitan,1,2024,Logan - Beaudesert,Greater Brisbane,0.4829,0.3832,0.4397,0.3131,0.6672,0.4317,0.4256,0.5997,0.5822,0.1792,0.4107,L25,MC,LA,Logan
316061439,Beerwah,QLD,Metropolitan,1,2024,Sunshine Coast,Rest of Qld,0.6550,0.6087,0.6864,0.5628,0.7686,0.6601,0.4157,0.5994,0.6421,0.5547,0.5576,M50,MC,MA,Sunshine Coast
318021469,Belgian Gardens - Pallarenda,QLD,Outer regional,3,2024,Townsville,Rest of Qld,0.6125,0.6796,0.7146,0.5389,0.8027,0.5407,0.4700,0.5966,0.6143,0.7388,0.4280,H75,MC,HA,Townsville
310041566,Bellbird Park,QLD,Metropolitan,1,2024,Ipswich,Greater Brisbane,0.4010,0.4301,0.4370,0.3981,0.4869,0.6248,0.4416,0.6058,0.5404,0.3453,0.1695,L25,LC,LA,Ipswich
304021086,Bellbowrie - Moggill,QLD,Metropolitan,1,2024,Brisbane - West,Greater Brisbane,0.5223,0.8096,0.7627,0.6457,0.7857,0.2786,0.2368,0.6180,0.7636,0.7624,0.6106,H75,MC,HA,Brisbane
301011002,Belmont - Gumdale,QLD,Metropolitan,1,2024,Brisbane - East,Greater Brisbane,0.7056,0.7331,0.8030,0.7034,0.9217,0.4660,0.3659,0.6180,0.6941,0.7222,0.6534,H75,HC,HA,Brisbane
309101267,Benowa,QLD,Metropolitan,1,2024,Gold Coast,Rest of Qld,0.5709,0.6310,0.6588,0.4672,0.7473,0.4540,0.4106,0.6066,0.6520,0.5841,0.4776,M50,MC,MA,Gold Coast
306021144,Bentley Park,QLD,Outer regional,3,2024,Cairns,Rest of Qld,0.4991,0.5644,0.5766,0.4445,0.6925,0.8002,0.4655,0.5949,0.6771,0.4084,0.1740,M50,MC,MA,Cairns
308031205,Berserker,QLD,Inner regional,2,2024,Fitzroy,Rest of Qld,0.4510,0.4037,0.4399,0.3086,0.7428,0.2323,0.4531,0.5935,0.5531,0.2698,0.4868,L25,LC,LA,Rockhampton
311051323,Bethania - Waterford,QLD,Metropolitan,1,2024,Logan - Beaudesert,Greater Brisbane,0.4834,0.5093,0.5300,0.2260,0.6632,0.6867,0.4432,0.5997,0.6092,0.4029,0.4067,M50,MC,MA,Logan
309031236,Biggera Waters,QLD,Metropolitan,1,2024,Gold Coast,Rest of Qld,0.4910,0.5459,0.5596,0.3170,0.6327,0.4069,0.4004,0.6066,0.6907,0.3476,0.4863,M50,MC,MA,Gold Coast
308041529,Biloela,QLD,Outer regional,3,2024,Fitzroy,Rest of Qld,0.5527,0.4380,0.5120,0.5148,0.6073,0.6160,0.4176,0.5751,0.4062,0.5578,0.4807,L25,MC,LA,Banana
301011003,Birkdale,QLD,Metropolitan,1,2024,Brisbane - East,Greater Brisbane,0.6488,0.5841,0.6655,0.6454,0.8058,0.4495,0.3659,0.5997,0.5547,0.6381,0.6807,M50,MC,MA,Redland
316071545,Bli Bli,QLD,Metropolitan,1,2024,Sunshine Coast,Rest of Qld,0.6167,0.6625,0.7046,0.6467,0.7279,0.4185,0.4335,0.5994,0.6232,0.6916,0.5707,M50,MC,HA,Sunshine Coast
318021470,Bohle Plains,QLD,Outer regional,3,2024,Townsville,Rest of Qld,0.5151,0.6204,0.6241,0.6862,0.6111,0.6609,0.4664,0.5966,0.6710,0.5327,0.2094,M50,MC,MA,Townsville
310021277,Boonah,QLD,Inner regional,2,2024,Ipswich,Greater Brisbane,0.3955,0.5206,0.4993,0.7036,0.7039,0.3520,0.4232,0.1427,0.5651,0.4943,0.3553,L25,LC,MA,Ipswich; Scenic Rim
302031035,Boondall,QLD,Metropolitan,1,2024,Brisbane - North,Greater Brisbane,0.6906,0.6191,0.7132,0.5415,0.7446,0.6303,0.4425,0.6180,0.7075,0.4715,0.6859,H75,HC,MA,Brisbane
319041516,Booral - River Heads,QLD,Inner regional,2,2024,Wide Bay,Rest of Qld,0.5275,0.5070,0.5491,0.5965,0.6881,0.4882,0.4400,0.5520,0.5422,0.5010,0.3721,M50,MC,MA,Fraser Coast
311031311,Boronia Heights - Park Ridge,QLD,Metropolitan,1,2024,Logan - Beaudesert,Greater Brisbane,0.4541,0.4746,0.4920,0.3345,0.6112,0.5784,0.4117,0.5997,0.6009,0.3440,0.3039,L25,LC,MA,Logan
308031206,Bouldercombe,QLD,Inner regional,2,2024,Fitzroy,Rest of Qld,0.4002,0.5499,0.5221,0.7708,0.6839,0.2312,0.4478,0.1797,0.6077,0.4887,0.4578,M50,LC,MA,Rockhampton
312011337,Bowen,QLD,Outer regional,3,2024,Mackay,Rest of Qld,0.5076,0.4359,0.4888,0.4435,0.5962,0.5072,0.4219,0.5817,0.4834,0.4430,0.4297,L25,MC,LA,Whitsunday
308051531,Boyne Island - Tannum Sands,QLD,Inner regional,2,2024,Fitzroy,Rest of Qld,0.5578,0.4885,0.5506,0.6106,0.5646,0.5705,0.4412,0.5949,0.4583,0.5863,0.4580,M50,MC,MA,Gladstone
302041041,Bracken Ridge,QLD,Metropolitan,1,2024,Brisbane - North,Greater Brisbane,0.6156,0.5747,0.6413,0.5498,0.7452,0.3739,0.4396,0.6180,0.6272,0.5089,0.6418,M50,MC,MA,Brisbane
319011494,Branyan - Kensington,QLD,Inner regional,2,2024,Wide Bay,Rest of Qld,0.5940,0.5144,0.5872,0.6093,0.6939,0.6386,0.4392,0.5580,0.5295,0.5351,0.4637,M50,MC,MA,Bundaberg
310031283,Brassall,QLD,Metropolitan,1,2024,Ipswich,Greater Brisbane,0.4366,0.3962,0.4282,0.3829,0.4986,0.6383,0.4592,0.6058,0.4942,0.3447,0.2536,L25,LC,LA,Ipswich
314031391,Bray Park,QLD,Metropolitan,1,2024,Moreton Bay - South,Greater Brisbane,0.5778,0.4519,0.5344,0.5046,0.7673,0.3588,0.3590,0.6039,0.4809,0.4794,0.6533,M50,MC,LA,Moreton Bay
313011363,Bribie Island,QLD,Inner regional,2,2024,Moreton Bay - North,Greater Brisbane,0.5321,0.4213,0.4901,0.3705,0.7087,0.4540,0.3394,0.6039,0.4541,0.4557,0.5616,L25,MC,LA,Moreton Bay; Sunshine Coast
302011023,Bridgeman Downs,QLD,Metropolitan,1,2024,Brisbane - North,Greater Brisbane,0.7108,0.7431,0.8130,0.6337,0.7531,0.7896,0.4432,0.6180,0.6810,0.7623,0.5774,H75,HC,HA,Brisbane
302041042,Brighton (Qld),QLD,Metropolitan,1,2024,Brisbane - North,Greater Brisbane,0.5975,0.6011,0.6509,0.7147,0.7935,0.2054,0.4391,0.6180,0.6257,0.5646,0.7180,M50,MC,MA,Brisbane
306011138,Brinsmead,QLD,Outer regional,3,2024,Cairns,Rest of Qld,0.5704,0.6082,0.6423,0.6281,0.6995,0.8027,0.4525,0.5949,0.5581,0.6811,0.2686,M50,MC,MA,Cairns
