short_name,council_name,website,url_status,stratum,mean_remoteness_score,worst_remoteness_score,is_local_government,is_indigenous_council,icfp_eligible,deamalgamated_2014,adri_andri,adri_coping_capacity,adri_adaptive_capacity,adri_information_access
Aurukun,Aurukun Shire Council,https://www.aurukun.qld.gov.au,verified,indigenous,5.0,5,True,True,True,False,0.0,0.0369,0.0,0.0091
Balonne,Balonne Regional Council,https://www.balonne.qld.gov.au,verified (blocks bots),remote,4.0,4,True,False,False,False,0.4122,0.3994,0.3963,0.085
Banana,Banana Regional Council,https://www.banana.qld.gov.au,verified (blocks bots),outer_regional,3.0,3,True,False,False,False,0.4395,0.4099,0.4284,0.1157
Barcaldine,Barcaldine Regional Council,https://www.barcaldinerc.qld.gov.au,verified (blocks bots),very_remote,5.0,5,True,False,False,False,0.4428,0.4309,0.4202,0.0842
Barcoo,Barcoo Regional Council,https://www.barcoo.qld.gov.au,verified,very_remote,5.0,5,True,False,False,False,0.4189,0.3681,0.4241,0.0882
Blackall Tambo,Blackall Tambo Regional Council,https://www.btrc.qld.gov.au,verified (blocks bots),very_remote,5.0,5,True,False,False,False,0.4428,0.4309,0.4202,0.0842
Boulia,Boulia Regional Council,https://www.boulia.qld.gov.au,verified (blocks bots),very_remote,5.0,5,True,False,False,False,0.4189,0.3681,0.4241,0.0882
Brisbane,Brisbane City Council,https://www.brisbane.qld.gov.au,verified,seq_metro,1.0,1,True,False,False,False,0.708,0.6171,0.6652,0.6179
Bulloo,Bulloo Regional Council,https://www.bulloo.qld.gov.au,verified (blocks bots),very_remote,5.0,5,True,False,False,False,0.3932,0.3602,0.3927,0.0702
Bundaberg,Bundaberg Regional Council,https://www.bundaberg.qld.gov.au,verified (blocks bots),regional_city,2.0,2,True,False,False,False,0.4964,0.4696,0.4694,0.3714
Burdekin,Burdekin Regional Council,https://www.burdekin.qld.gov.au,verified (blocks bots),outer_regional,3.0,3,True,False,False,False,0.5011,0.4425,0.4947,0.0927
Burke,Burke Regional Council,https://www.burke.qld.gov.au,verified (blocks bots),very_remote,5.0,5,True,False,False,False,0.2639,0.2123,0.2905,0.0483
Cairns,Cairns Regional Council,https://www.cairns.qld.gov.au,verified (blocks bots),outer_regional,3.0,3,True,False,False,False,0.6004,0.467,0.6171,0.3686
Carpentaria,Carpentaria Regional Council,https://www.carpentaria.qld.gov.au,verified (blocks bots),very_remote,5.0,5,True,False,False,False,0.2639,0.2123,0.2905,0.0483
Cassowary Coast,Cassowary Coast Regional Council,https://www.cassowarycoast.qld.gov.au,verified (blocks bots),outer_regional,3.0,3,True,False,False,False,0.5236,0.3875,0.5594,0.0899
