short_name,council_name,abs_lga_name,abs_lga_code,stratum,is_local_government,is_indigenous_council,website,population_latest,population_latest_year,population_10yr_prior,census2021_total_persons,census2021_indigenous_persons,seifa_irsd_score,seifa_irsd_decile_aus,seifa_irsd_percentile_aus,seifa_irsd_decile_state,seifa_irsad_score,seifa_irsad_decile_aus,seifa_ier_score,seifa_ieo_score,median_age,median_personal_income_weekly,median_household_income_weekly,avg_household_size,avg_persons_per_bedroom,median_family_income_weekly,median_rent_weekly,median_mortgage_monthly,staff_data_year,staff_fte_indoor,staff_fte_outdoor,staff_fte_total,finance_data_year,total_operating_income_k,net_rates_and_utility_charges_k,employee_expenses_k,water_sewer_data_year,water_connections_total,water_connections_residential,sewerage_connections_total,adri_andri,adri_coping_capacity,adri_adaptive_capacity,adri_information_access,mean_remoteness_score,indigenous_share_pct,is_water_service_provider,above_soci_water_threshold,own_source_revenue_share,staff_per_1000_residents
Aurukun,Aurukun Shire Council,Aurukun,30250,indigenous,True,True,https://www.aurukun.qld.gov.au,1165,2025,1321,1101,977,501,1,2,1,700,1,546,833,29,331,1069,3.9,1.2,785,125,0,2015_16,40,42,82,2015_16,19343,726,6422,2015_16,413,397,413,0.0,0.0369,0.0,0.0091,5.0,88.7,True,False,0.038,70.39
Balonne,Balonne Regional Council,Balonne,30300,remote,True,False,https://www.balonne.qld.gov.au,4350,2025,4610,4320,884,943,3,26,5,929,4,942,929,40,780,1358,2.4,0.8,1704,200,1169,2015_16,32,53,85,2015_16,20356,9311,5906,2015_16,1664,1336,1420,0.4122,0.3994,0.3963,0.085,4.0,20.5,True,False,0.457,19.54
Banana,Banana Regional Council,Banana,30370,outer_regional,True,False,https://www.banana.qld.gov.au,15144,2025,14707,14513,737,992,7,61,8,954,6,998,909,38,856,1766,2.5,0.8,2138,240,1300,2015_16,100,147,247,2015_16,64856,31889,21611,2015_16,5466,4417,3957,0.4395,0.4099,0.4284,0.1157,3.0,5.1,True,False,0.492,16.31
Barcaldine,Barcaldine Regional Council,Barcaldine,30410,very_remote,True,False,https://www.barcaldinerc.qld.gov.au,2937,2025,3082,2849,220,1002,7,68,9,971,7,989,956,43,858,1418,2.3,0.7,1962,163,1083,2015_16,37,118,155,2015_16,23907,6129,8983,2015_16,1502,1261,964,0.4428,0.4309,0.4202,0.0842,5.0,7.7,True,False,0.256,52.77
Barcoo,Barcoo Regional Council,Barcoo,30450,very_remote,True,False,https://www.barcoo.qld.gov.au,321,2025,296,308,26,988,6,57,8,959,6,1002,879,38,991,1875,2.3,0.8,2374,100,2000,2015_16,29,40,69,2015_16,15549,1146,4933,2015_16,235,231,0,0.4189,0.3681,0.4241,0.0882,5.0,8.4,True,False,0.074,214.95
Blackall Tambo,Blackall Tambo Regional Council,Blackall Tambo,30760,very_remote,True,False,https://www.btrc.qld.gov.au,1975,2025,2035,1905,110,961,4,38,6,930,4,976,903,48,729,1254,2.3,0.8,1557,157,867,2015_16,36,72,108,2015_16,18670,4577,6859,2015_16,1000,735,877,0.4428,0.4309,0.4202,0.0842,5.0,5.8,True,False,0.245,54.68
Boulia,Boulia Regional Council,Boulia,30900,very_remote,True,False,https://www.boulia.qld.gov.au,489,2025,459,458,138,878,1,10,3,890,2,864,898,33,1006,1490,2.5,1,1875,125,1020,2015_16,16,26,42,2015_16,14322,1203,3249,2015_16,255,207,229,0.4189,0.3681,0.4241,0.0882,5.0,30.1,True,False,0.084,85.89
Brisbane,Brisbane City Council,Brisbane,31000,seq_metro,True,False,https://www.brisbane.qld.gov.au,1375301,2025,1165437,1242825,22940,1045,9,89,10,1061,9,1012,1076,36,947,2068,2.5,0.8,2474,408,2019,2015_16,4662,2896,7558,2015_16,1898089,936874,654868,2015_16,0,,0,0.708,0.6171,0.6652,0.6179,1.0,1.8,False,False,0.494,5.5
Bulloo,Bulloo Regional Council,Bulloo,31750,very_remote,True,False,https://www.bulloo.qld.gov.au,347,2025,372,337,39,990,6,59,8,942,5,972,873,36,960,1625,2.5,0.9,1968,153,696,2015_16,33,33,66,2015_16,13846,4337,5177,2015_16,174,121,136,0.3932,0.3602,0.3927,0.0702,5.0,11.6,True,False,0.313,190.2
Bundaberg,Bundaberg Regional Council,Bundaberg,31820,regional_city,True,False,https://www.bundaberg.qld.gov.au,107297,2025,94028,99215,4963,924,2,19,4,898,2,954,891,47,594,1157,2.4,0.8,1427,285,1300,2015_16,354,439,793,2015_16,168171,128543,64527,2015_16,34810,Separate analysis not available,37991,0.4964,0.4696,0.4694,0.3714,2.0,5.0,True,False,0.764,7.39
Burdekin,Burdekin Regional Council,Burdekin,31900,outer_regional,True,False,https://www.burdekin.qld.gov.au,17220,2025,17566,16692,1097,966,5,42,7,923,3,969,890,45,723,1345,2.3,0.8,1804,222,1220,2015_16,110,131,241,2015_16,47265,37289,17924,2015_16,6533,5483,7553,0.5011,0.4425,0.4947,0.0927,3.0,6.6,True,False,0.789,14.0
Burke,Burke Regional Council,Burke,31950,very_remote,True,False,https://www.burke.qld.gov.au,449,2025,396,419,136,941,3,25,5,928,4,899,927,35,884,1312,2.3,1,2125,150,477,2015_16,12,36,48,2015_16,12762,3628,3923,2015_16,197,121,112,0.2639,0.2123,0.2905,0.0483,5.0,32.5,True,False,0.284,106.9
Cairns,Cairns Regional Council,Cairns,32080,outer_regional,True,False,https://www.cairns.qld.gov.au,179334,2025,159944,166943,16153,981,6,52,7,966,7,971,972,39,809,1578,2.5,0.8,1950,340,1588,2015_16,634,486,1120,2015_16,281273,241265,92450,2015_16,68686,63898,64860,0.6004,0.467,0.6171,0.3686,3.0,9.7,True,False,0.858,6.25
