"short_name","council_name","stratum","is_indigenous_council","population_latest","own_source_revenue_share","staff_fte_total","adri_andri","adri_coping_capacity","adri_adaptive_capacity","adri_information_access","ai_status","ai_infrastructure_type","ai_source","water_utility","water_control_tier","water_connections_2023_24","meets_soci_threshold","has_published_ai_governance_policy"
"Aurukun","Aurukun Shire Council","indigenous","True","1165","0.038","82","0.0","0.0369","0.0","0.0091","No evidence found","","","","","","False","False"
"Balonne","Balonne Shire Council","remote","False","4350","0.457","85","0.4122","0.3994","0.3963","0.085","No evidence found","","","","","","False","False"
"Banana","Banana Shire Council","outer_regional","False","15144","0.492","247","0.4395","0.4099","0.4284","0.1157","No evidence found","","","","","","False","False"
"Barcaldine","Barcaldine Regional Council","very_remote","False","2937","0.256","155","0.4428","0.4309","0.4202","0.0842","No evidence found","","","","","","False","False"
"Barcoo","Barcoo Shire Council","very_remote","False","321","0.074","69","0.4189","0.3681","0.4241","0.0882","No evidence found","","","","","","False","False"
"Blackall Tambo","Blackall-Tambo Regional Council","very_remote","False","1975","0.245","108","0.4428","0.4309","0.4202","0.0842","No evidence found","","","","","","False","False"
"Boulia","Boulia Shire Council","very_remote","False","489","0.084","42","0.4189","0.3681","0.4241","0.0882","No evidence found","","","","","","False","False"
"Brisbane","Brisbane City Council","seq_metro","False","1375301","0.494","7558","0.708","0.6171","0.6652","0.6179","Confirmed AI","Traffic management","ABC News (21 Aug 2026)","Urban Utilities","bulk-authority (dependent)","676983","True","False"
"Bulloo","Bulloo Shire Council","very_remote","False","347","0.313","66","0.3932","0.3602","0.3927","0.0702","No evidence found","","","","","","False","False"
"Bundaberg","Bundaberg Regional Council","regional_city","False","107297","0.764","793","0.4964","0.4696","0.4694","0.3714","No evidence found","","","Bundaberg Regional Council","direct (council-operated)","34398","False","False"
"Burdekin","Burdekin Shire Council","outer_regional","False","17220","0.789","241","0.5011","0.4425","0.4947","0.0927","No evidence found","","","","","","False","False"
"Burke","Burke Shire Council","very_remote","False","449","0.284","48","0.2639","0.2123","0.2905","0.0483","No evidence found","","","","","","False","False"
"Cairns","Cairns Regional Council","outer_regional","False","179334","0.858","1120","0.6004","0.467","0.6171","0.3686","AI-adjacent (IoT/smart, no AI confirmed) + AI governance policy exists","Water metering; AI governance","Cairns Regional Council AI General Policy PDF; Itron press release (14 Nov 2017)","Cairns Regional Council","direct (council-operated)","76270","False","True"
"Carpentaria","Carpentaria Shire Council","very_remote","False","2247","0.148","91","0.2639","0.2123","0.2905","0.0483","No evidence found","","","","","","False","False"
