short_name,council_name,stratum,abs_lga_code,is_indigenous_council,population_latest,essential_services_inputs_used,n_above_soci_water_threshold,n_is_water_service_provider,n_mean_remoteness_score,essential_services_score,population_vulnerability_inputs_used,n_seifa_irsd_score,n_avg_persons_per_bedroom,n_indigenous_share_pct,population_vulnerability_score,institutional_capacity_inputs_used,n_own_source_revenue_share,n_indoor_staff_share,n_staff_per_1000_residents,institutional_capacity_score,deployment_evidence_inputs_used,n_ai_deployment_confirmed,deployment_evidence_score,synthetic_warning_inputs_used,n_disaster_events_alltime,n_mbsp_stations_per_1000_residents,n_pct_language_not_english_home,synthetic_warning_score,ai_risk_index,components_complete,adri_andri,ai_risk_rank,adri_rank,rank_shift
Aurukun,Aurukun Shire Council,indigenous,30250,True,1165,3/3,1.0,1.0,0.8269,0.9567,3/3,0.9679,0.8782,0.9038,0.9205,3/3,0.8618,0.6233,0.2733,0.6726,0/1,,,3/3,0.25,0.8974,0.9808,0.6593,0.691,4/5,0.0,3,1,-2
Balonne,Balonne Shire Council,remote,30300,False,4350,3/3,1.0,1.0,0.5833,0.8958,3/3,0.5833,0.3718,0.6603,0.5285,3/3,0.5066,0.2671,0.4733,0.4281,0/1,,,3/3,0.25,0.1474,0.2949,0.2253,0.4806,4/5,0.4122,43,31,-12
Banana,Banana Shire Council,outer_regional,30370,False,15144,3/3,1.0,1.0,0.3782,0.8446,3/3,0.2308,0.3718,0.1795,0.2673,3/3,0.4803,0.3219,0.5267,0.442,0/1,,,3/3,0.9551,0.4423,0.4167,0.641,0.4613,4/5,0.4395,58,42,-16
Barcaldine,Barcaldine Regional Council,very_remote,30410,False,2937,3/3,1.0,1.0,0.8269,0.9567,3/3,0.1474,0.0513,0.4423,0.1875,3/3,0.625,0.0753,0.34,0.4031,0/1,,,3/3,0.6282,0.1859,0.0705,0.334,0.431,4/5,0.4428,67,44,-23
Barcoo,Barcoo Shire Council,very_remote,30450,False,321,3/3,1.0,1.0,0.8269,0.9567,3/3,0.2756,0.3718,0.4936,0.3638,3/3,0.7829,0.3562,0.0333,0.505,0/1,,,3/3,0.6282,0.8974,0.0064,0.567,0.5201,4/5,0.4189,29,33,4
Blackall Tambo,Blackall-Tambo Regional Council,very_remote,30760,False,1975,3/3,1.0,1.0,0.8269,0.9567,3/3,0.4295,0.3718,0.2692,0.3692,3/3,0.6513,0.1781,0.3267,0.4444,0/1,,,3/3,0.6282,0.2115,0.0705,0.3429,0.4806,4/5,0.4428,44,45,1
Boulia,Boulia Shire Council,very_remote,30900,False,489,3/3,1.0,1.0,0.8269,0.9567,3/3,0.75,0.7436,0.7372,0.7446,3/3,0.7697,0.2945,0.18,0.5092,0/1,,,3/3,0.25,0.0705,0.2949,0.1984,0.5607,4/5,0.4189,19,34,15
Brisbane,Brisbane City Council,seq_metro,31000,False,1375301,3/3,1.0,0.0,0.0256,0.4064,3/3,0.0192,0.3718,0.0192,0.1426,3/3,0.4671,0.8425,0.8867,0.6636,1/1,1.0,1.0,3/3,0.9936,0.7885,0.8397,0.8833,0.5675,5/5,0.708,16,77,61
Bulloo,Bulloo Shire Council,very_remote,31750,False,347,3/3,1.0,1.0,0.8269,0.9567,3/3,0.2564,0.6667,0.609,0.4881,3/3,0.5855,0.6507,0.0467,0.4973,0/1,,,3/3,0.25,0.0064,0.1026,0.1279,0.4988,4/5,0.3932,37,28,-9
Bundaberg,Bundaberg Regional Council,regional_city,31820,False,107297,3/3,1.0,1.0,0.1667,0.7917,3/3,0.6731,0.3718,0.141,0.4346,3/3,0.1645,0.4589,0.7933,0.3786,0/1,,,3/3,0.8205,0.5577,0.4423,0.634,0.4618,4/5,0.4964,57,56,-1
Burdekin,Burdekin Shire Council,outer_regional,31900,False,17220,3/3,1.0,1.0,0.3782,0.8446,3/3,0.391,0.3718,0.3654,0.3779,3/3,0.0987,0.5137,0.58,0.3195,0/1,,,3/3,0.25,0.5192,0.5897,0.4292,0.4255,4/5,0.5011,69,57,-12
Burke,Burke Shire Council,very_remote,31950,False,449,3/3,1.0,1.0,0.8269,0.9567,3/3,0.5962,0.7436,0.75,0.6862,3/3,0.5987,0.089,0.1,0.3461,0/1,,,3/3,0.25,0.0192,0.4038,0.2077,0.501,4/5,0.2639,34,7,-27
Cairns,Cairns Regional Council,outer_regional,32080,False,179334,3/3,1.0,1.0,0.3782,0.8446,3/3,0.3141,0.3718,0.5449,0.392,3/3,0.0197,0.774,0.8467,0.4114,1/1,0.0,0.0,3/3,0.6282,0.7115,0.8013,0.7006,0.483,5/5,0.6004,42,69,27
Carpentaria,Carpentaria Shire Council,very_remote,32250,False,2247,3/3,1.0,1.0,0.8269,0.9567,3/3,0.7885,0.8077,0.7756,0.792,3/3,0.7303,0.4247,0.38,0.5685,0/1,,,3/3,0.25,0.2372,0.3718,0.276,0.5957,4/5,0.2639,9,8,-1
Cassowary Coast,Cassowary Coast Regional Council,outer_regional,32260,False,30666,3/3,1.0,1.0,0.3782,0.8446,3/3,0.6603,0.3718,0.5705,0.5369,3/3,0.0789,0.2534,0.6067,0.2368,1/1,0.0,0.0,3/3,0.9167,0.5769,0.7372,0.7529,0.4648,5/5,0.5236,54,64,10
Central Highlands,Central Highlands Regional Council,remote,32270,False,29481,3/3,1.0,1.0,0.4808,0.8702,3/3,0.1859,0.3718,0.2885,0.2766,3/3,0.3092,0.5822,0.5667,0.4426,0/1,,,3/3,0.25,0.2756,0.5705,0.3391,0.4396,4/5,0.4758,65,50,-15
Charters Towers,Charters Towers Regional Council,remote,32310,False,12088,3/3,1.0,1.0,0.5192,0.8798,3/3,0.6346,0.3718,0.5449,0.5202,3/3,0.3882,0.226,0.5,0.3619,0/1,,,3/3,0.6282,0.4103,0.1474,0.4317,0.4757,4/5,0.4937,45,53,8
Cherbourg,Cherbourg Aboriginal Shire Council,indigenous,32330,True,1289,1/3,,,0.1667,0.1667,3/3,0.9808,0.7436,0.9936,0.901,1/3,0.9671,,,0.9671,1/1,1.0,1.0,3/3,0.25,0.8974,0.1218,0.4446,0.7064,3/5,0.384,2,24,22
Cloncurry,Cloncurry Shire Council,remote,32450,False,3907,3/3,1.0,1.0,0.5833,0.8958,3/3,0.4103,0.3718,0.7115,0.4721,3/3,0.4408,0.5685,0.4067,0.4723,0/1,,,3/3,0.6282,0.1731,0.391,0.4096,0.501,4/5,0.3273,35,20,-15
