short_name,roads_data_year,road_km_rural,road_km_urban,road_km_total,waste_data_year,waste_properties_serviced,waste_tonnes_domestic,waste_collection_cost_k,isolated_power_network,isolated_power_confidence
Aurukun,2015_16,65.0,20.0,85.0,2015_16,366.0,50.0,45.0,True,inferred from region named by Ergon — VERIFY
Balonne,2015_16,2538.0,67.0,2605.0,2015_16,1436.0,1850.0,360.0,False,assumed grid-connected
Banana,2015_16,3826.0,162.0,3988.0,2015_16,,2964.0,3668.0,False,assumed grid-connected
Barcaldine,2015_16,2921.0,65.0,2986.0,2015_16,1314.0,2390.0,274.0,False,assumed grid-connected
Barcoo,2015_16,1649.0,17.0,1666.0,2015_16,133.0,,65.0,True,named by Ergon
Blackall Tambo,2015_16,1826.0,41.0,1867.0,2015_16,736.0,1100.0,203.0,False,assumed grid-connected
Boulia,2015_16,1318.0,11.0,1329.0,2015_16,140.0,131.0,105.0,True,named by Ergon
Brisbane,2015_16,0.0,5679.0,5679.0,2015_16,479765.0,292614.0,38079.0,False,assumed grid-connected
Bulloo,2015_16,1977.0,13.0,1990.0,2015_16,113.0,82.0,80.0,True,inferred from region named by Ergon — VERIFY
Bundaberg,2015_16,2365.0,674.0,3039.0,2015_16,42589.0,28546.0,4193.0,False,assumed grid-connected
Burdekin,2015_16,968.0,178.0,1146.0,2015_16,7072.0,3390.0,1788.0,False,assumed grid-connected
Burke,2015_16,703.0,10.0,713.0,2015_16,97.0,175.0,297.0,True,named by Ergon
Cairns,2015_16,413.0,913.0,1326.0,2015_16,70272.0,49681.0,3997.0,False,assumed grid-connected
Carpentaria,2015_16,1601.0,37.0,1638.0,2015_16,689.0,,480.0,True,inferred from region named by Ergon — VERIFY
Cassowary Coast,2015_16,1012.0,200.0,1212.0,2015_16,11764.0,9280.0,1380.0,False,assumed grid-connected
Central Highlands,2015_16,4199.0,390.0,4589.0,2015_16,9885.0,10946.0,1950.0,False,assumed grid-connected
Charters Towers,2015_16,3109.0,138.0,3247.0,2015_16,4352.0,2235.0,398.0,False,assumed grid-connected
Cherbourg,2015_16,58.0,12.0,70.0,2015_16,,,,False,assumed grid-connected
Cloncurry,2015_16,1486.0,85.0,1571.0,2015_16,986.0,,,False,assumed grid-connected
Cook,2015_16,2837.0,90.0,2927.0,2015_16,1134.0,2739.0,1596.0,True,inferred from region named by Ergon — VERIFY
Croydon,2015_16,1042.0,46.0,1088.0,2015_16,105.0,110.0,37.0,True,inferred from region named by Ergon — VERIFY
Diamantina,2015_16,1037.0,24.0,1061.0,2015_16,104.0,135.0,112.0,True,inferred from region named by Ergon — VERIFY
Doomadgee,2015_16,98.0,15.0,113.0,2015_16,,,,True,named by Ergon
Douglas,2015_16,308.0,64.0,372.0,2015_16,7578.0,4647.0,488.0,False,assumed grid-connected
Etheridge,2015_16,1706.0,51.0,1757.0,2015_16,135.0,265.0,45.0,True,inferred from region named by Ergon — VERIFY
Flinders,2015_16,1947.0,45.0,1992.0,2015_16,592.0,1146.0,166.0,False,assumed grid-connected
Fraser Coast,2015_16,1491.0,1118.0,2609.0,2015_16,41323.0,33438.0,4695.0,False,assumed grid-connected
Gladstone,2015_16,2146.0,496.0,2642.0,2015_16,24761.0,16471.0,2464.0,False,assumed grid-connected
Gold Coast,2015_16,677.0,2562.0,3239.0,2015_16,227812.0,208729.0,29399.0,False,assumed grid-connected
Goondiwindi,2015_16,2346.0,138.0,2484.0,2015_16,4126.0,6012.0,467.0,False,assumed grid-connected
Gympie,2015_16,1963.0,320.0,2283.0,2015_16,19190.0,16502.0,2879.0,False,assumed grid-connected
Hinchinbrook,2015_16,601.0,92.0,693.0,2015_16,5545.0,3767.0,951.0,False,assumed grid-connected
Hope Vale,2015_16,118.0,14.0,132.0,2015_16,257.0,1185.0,181.0,False,assumed grid-connected
Ipswich,2015_16,573.0,1176.0,1749.0,2015_16,69343.0,49597.0,7574.0,False,assumed grid-connected
Isaac,2015_16,3057.0,197.0,3254.0,2015_16,8894.0,8351.0,1373.0,False,assumed grid-connected
Kowanyama,2015_16,345.0,8.0,353.0,2015_16,320.0,1040.0,50.0,True,inferred from region named by Ergon — VERIFY
Livingstone,2015_16,1170.0,258.0,1428.0,2015_16,11941.0,8512.0,1928.0,False,assumed grid-connected
Lockhart River,2015_16,161.0,11.0,172.0,2015_16,145.0,,183.0,True,inferred from region named by Ergon — VERIFY
Lockyer Valley,2015_16,1074.0,355.0,1429.0,2015_16,13786.0,10903.0,2807.0,False,assumed grid-connected
Logan,2015_16,1034.0,1350.0,2384.0,2015_16,105502.0,78663.0,10302.0,False,assumed grid-connected
Longreach,2015_16,2658.0,90.0,2748.0,2015_16,1460.0,,236.0,False,assumed grid-connected
Mackay,2015_16,1819.0,661.0,2480.0,2015_16,45000.0,32471.0,4880.0,False,assumed grid-connected
Mapoon,2015_16,40.0,17.0,57.0,2015_16,75.0,306.0,53.0,True,inferred from region named by Ergon — VERIFY
Maranoa,2015_16,5655.0,171.0,5826.0,2015_16,4018.0,4461.0,790.0,False,assumed grid-connected
