"short_name","council_name","abs_lga_name","abs_lga_code","stratum","is_local_government","is_indigenous_council","website","population_latest","population_latest_year","population_10yr_prior","census2021_total_persons","census2021_indigenous_persons","seifa_irsd_score","seifa_irsd_decile_aus","seifa_irsd_percentile_aus","seifa_irsd_decile_state","seifa_irsad_score","seifa_irsad_decile_aus","seifa_ier_score","seifa_ieo_score","median_age","median_personal_income_weekly","median_household_income_weekly","avg_household_size","avg_persons_per_bedroom","median_family_income_weekly","median_rent_weekly","median_mortgage_monthly","staff_data_year","staff_fte_indoor","staff_fte_outdoor","staff_fte_total","finance_data_year","total_operating_income_k","net_rates_and_utility_charges_k","employee_expenses_k","water_sewer_data_year","water_connections_total","water_connections_residential","sewerage_connections_total","adri_andri","adri_coping_capacity","adri_adaptive_capacity","adri_information_access","mean_remoteness_score","indigenous_share_pct","is_water_service_provider","above_soci_water_threshold","own_source_revenue_share","staff_per_1000_residents","adri_social_character","adri_economic_capital","adri_planning_build_environment","adri_emergency_services","adri_govt_leadership","adri_community_social_engagement","adri_community_capital","url_status","worst_remoteness_score","icfp_eligible","deamalgamated_2014","ai_status","ai_infrastructure_type","ai_source","water_utility","water_control_tier","water_connections_2023_24","meets_soci_threshold","has_published_ai_governance_policy","ai_detail","ai_region","ai_policy_scan_result","ai_policy_url","airports_total","airports_council_operated","airports_external","has_lifeline_airstrip","airport_control_tier","roads_data_year","road_km_rural","road_km_urban","road_km_total","waste_data_year","waste_properties_serviced","waste_tonnes_domestic","waste_collection_cost_k","isolated_power_network","isolated_power_confidence","indoor_staff_share","water_connections_best","water_connections_vintage","ai_deployment_confirmed"
"Aurukun","Aurukun Shire Council","Aurukun","30250","indigenous","True","True","https://www.aurukun.qld.gov.au","1165","2025","1321","1101","977","501","1","2","1","700","1","546","833","29","331","1069","3.9","1.2","785","125","0","2015_16","40","42","82","2015_16","19343","726","6422","2015_16","413","397","413","0.0","0.0369","0.0","0.0091","5.0","88.7","True","False","0.038","70.39","0.1892","0.0544","0.3148","0.2325","0.1021","0.0419","0.0623","verified","5","True","False","No evidence found","","","","","","False","False","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Far North Queensland","NOT FOUND","","1","1","0","True","lifeline","2015_16","65.0","20.0","85.0","2015_16","366.0","50.0","45.0","True","verified — named on ergon.com.au","0.488","413","2015_16","False"
"Balonne","Balonne Shire Council","Balonne","30300","remote","True","False","https://www.balonne.qld.gov.au","4350","2025","4610","4320","884","943","3","26","5","929","4","942","929","40","780","1358","2.4","0.8","1704","200","1169","2015_16","32","53","85","2015_16","20356","9311","5906","2015_16","1664","1336","1420","0.4122","0.3994","0.3963","0.085","4.0","20.5","True","False","0.457","19.54","0.6548","0.4607","0.6117","0.389","0.4774","0.3701","0.4699","verified (blocks bots)","4","False","False","No evidence found","","","","","","False","","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Darling Downs-South West","not checked","","2","2","0","True","lifeline","2015_16","2538.0","67.0","2605.0","2015_16","1436.0","1850.0","360.0","False","grid-connected (not on Ergon list)","0.376","1664","2015_16","False"
"Banana","Banana Shire Council","Banana","30370","outer_regional","True","False","https://www.banana.qld.gov.au","15144","2025","14707","14513","737","992","7","61","8","954","6","998","909","38","856","1766","2.5","0.8","2138","240","1300","2015_16","100","147","247","2015_16","64856","31889","21611","2015_16","5466","4417","3957","0.4395","0.4099","0.4284","0.1157","3.0","5.1","True","False","0.492","16.31","0.8475","0.4369","0.5216","0.4128","0.4264","0.5099","0.4501","verified (blocks bots)","3","False","False","No evidence found","","","","","","False","","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Central Queensland","not checked","","1","1","0","False","council-operated","2015_16","3826.0","162.0","3988.0","2015_16","","2964.0","3668.0","False","grid-connected (not on Ergon list)","0.405","5466","2015_16","False"
"Barcaldine","Barcaldine Regional Council","Barcaldine","30410","very_remote","True","False","https://www.barcaldinerc.qld.gov.au","2937","2025","3082","2849","220","1002","7","68","9","971","7","989","956","43","858","1418","2.3","0.7","1962","163","1083","2015_16","37","118","155","2015_16","23907","6129","8983","2015_16","1502","1261","964","0.4428","0.4309","0.4202","0.0842","5.0","7.7","True","False","0.256","52.77","0.8073","0.426","0.5404","0.4515","0.6057","0.2209","0.5195","verified (blocks bots)","5","False","False","No evidence found","","","","","","False","False","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Central Queensland","NOT FOUND","","1","1","0","False","council-operated","2015_16","2921.0","65.0","2986.0","2015_16","1314.0","2390.0","274.0","False","grid-connected (not on Ergon list)","0.239","1502","2015_16","False"
"Barcoo","Barcoo Shire Council","Barcoo","30450","very_remote","True","False","https://www.barcoo.qld.gov.au","321","2025","296","308","26","988","6","57","8","959","6","1002","879","38","991","1875","2.3","0.8","2374","100","2000","2015_16","29","40","69","2015_16","15549","1146","4933","2015_16","235","231","0","0.4189","0.3681","0.4241","0.0882","5.0","8.4","True","False","0.074","214.95","0.7411","0.4701","0.4698","0.357","0.6176","0.2098","0.4284","verified","5","False","False","No evidence found","","","","","","False","","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Central Queensland","not checked","","1","1","0","False","council-operated","2015_16","1649.0","17.0","1666.0","2015_16","133.0","","65.0","True","verified — named on ergon.com.au","0.42","235","2015_16","False"
"Blackall Tambo","Blackall-Tambo Regional Council","Blackall Tambo","30760","very_remote","True","False","https://www.btrc.qld.gov.au","1975","2025","2035","1905","110","961","4","38","6","930","4","976","903","48","729","1254","2.3","0.8","1557","157","867","2015_16","36","72","108","2015_16","18670","4577","6859","2015_16","1000","735","877","0.4428","0.4309","0.4202","0.0842","5.0","5.8","True","False","0.245","54.68","0.8073","0.426","0.5404","0.4515","0.6057","0.2209","0.5195","verified (blocks bots)","5","False","False","No evidence found","","","","","","False","","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Central Queensland","not checked","","1","1","0","False","council-operated","2015_16","1826.0","41.0","1867.0","2015_16","736.0","1100.0","203.0","False","grid-connected (not on Ergon list)","0.333","1000","2015_16","False"
"Boulia","Boulia Shire Council","Boulia","30900","very_remote","True","False","https://www.boulia.qld.gov.au","489","2025","459","458","138","878","1","10","3","890","2","864","898","33","1006","1490","2.5","1","1875","125","1020","2015_16","16","26","42","2015_16","14322","1203","3249","2015_16","255","207","229","0.4189","0.3681","0.4241","0.0882","5.0","30.1","True","False","0.084","85.89","0.7411","0.4701","0.4698","0.357","0.6176","0.2098","0.4284","verified (blocks bots)","5","False","False","No evidence found","","","","","","False","","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Central Queensland","not checked","","1","1","0","False","council-operated","2015_16","1318.0","11.0","1329.0","2015_16","140.0","131.0","105.0","True","verified — named on ergon.com.au","0.381","255","2015_16","False"
"Brisbane","Brisbane City Council","Brisbane","31000","seq_metro","True","False","https://www.brisbane.qld.gov.au","1375301","2025","1165437","1242825","22940","1045","9","89","10","1061","9","1012","1076","36","947","2068","2.5","0.8","2474","408","2019","2015_16","4662","2896","7558","2015_16","1898089","936874","654868","2015_16","0","","0","0.708","0.6171","0.6652","0.6179","1.0","1.8","False","False","0.494","5.5","0.5723","0.7568","0.5223","0.3881","0.6988","0.5745","0.6074","verified","1","False","False","Confirmed AI","Traffic management","ABC News (21 Aug 2026)","Urban Utilities","bulk-authority (dependent)","676983","True","False","$15M, two-year AI corridor traffic-coordination trial (Aug 2026), extending beyond single intersections into the traffic management system itself.","South East Queensland","NOT FOUND","","1","0","1","False","external","2015_16","0.0","5679.0","5679.0","2015_16","479765.0","292614.0","38079.0","False","grid-connected (not on Ergon list)","0.617","676983","2023_24","True"
"Bulloo","Bulloo Shire Council","Bulloo","31750","very_remote","True","False","https://www.bulloo.qld.gov.au","347","2025","372","337","39","990","6","59","8","942","5","972","873","36","960","1625","2.5","0.9","1968","153","696","2015_16","33","33","66","2015_16","13846","4337","5177","2015_16","174","121","136","0.3932","0.3602","0.3927","0.0702","5.0","11.6","True","False","0.313","190.2","0.6583","0.3959","0.47","0.4428","0.5725","0.2157","0.4413","verified (blocks bots)","5","False","False","No evidence found","","","","","","False","","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Darling Downs-South West","not checked","","1","1","0","False","council-operated","2015_16","1977.0","13.0","1990.0","2015_16","113.0","82.0","80.0","False","grid-connected (not on Ergon list)","0.5","174","2015_16","False"
"Bundaberg","Bundaberg Regional Council","Bundaberg","31820","regional_city","True","False","https://www.bundaberg.qld.gov.au","107297","2025","94028","99215","4963","924","2","19","4","898","2","954","891","47","594","1157","2.4","0.8","1427","285","1300","2015_16","354","439","793","2015_16","168171","128543","64527","2015_16","34810","Separate analysis not available","37991","0.4964","0.4696","0.4694","0.3714","2.0","5.0","True","False","0.764","7.39","0.5174","0.6118","0.4689","0.4268","0.539","0.4284","0.4786","verified (blocks bots)","2","False","False","No evidence found","","","Bundaberg Regional Council","direct (council-operated)","34398","False","False","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Wide Bay-Burnett","NOT FOUND","","1","1","0","False","council-operated","2015_16","2365.0","674.0","3039.0","2015_16","42589.0","28546.0","4193.0","False","grid-connected (not on Ergon list)","0.446","34398","2023_24","False"
