join_key,mbsp_lga_raw,mbsp_funded_stations_total,mbsp_funded_stations_telstra,mbsp_funded_stations_optus,mbsp_funded_stations_other,mbsp_rounds_covered,mbsp_earliest_year,mbsp_latest_year
balonne,Balonne,4,1,1,2,2,2017,2023
banana,Banana,3,3,0,0,2,2016,2019
barcaldine,Barcaldine,2,1,1,0,2,2017,2017
blackalltambo,Blackall Tambo,1,1,0,0,1,2018,2018
boulia,Boulia,1,1,0,0,1,2021,2021
brisbane,Brisbane,4,4,0,0,2,2018,2020
bulloo,Bulloo,6,1,1,4,3,2022,2023
bundaberg,Bundaberg,8,4,4,0,5,2016,2021
burdekin,Burdekin,2,1,1,0,2,2017,2023
burke,Burke,3,2,1,0,3,2017,2022
cairns,Cairns,3,2,1,0,3,2018,2023
carpentaria,Carpentaria,1,1,0,0,1,2021,2021
cassowarycoast,Cassowary Coast,2,2,0,0,2,2017,2019
centralhighlands,Central Highlands (Qld),11,5,4,2,5,2016,2024
charterstowers,Charters Towers,3,3,0,0,2,2016,2017
cloncurry,Cloncurry,3,3,0,0,2,2018,2021
cook,Cook,8,8,0,0,4,2018,2024
douglas,Douglas,4,2,2,0,2,2018,2020
etheridge,Etheridge,3,3,0,0,2,2016,2024
flinders,Flinders (Qld),2,2,0,0,2,2017,2021
frasercoast,Fraser Coast,5,5,0,0,3,2018,2019
gladstone,Gladstone,4,4,0,0,3,2016,2020
goondiwindi,Goondiwindi,3,3,0,0,3,2016,2023
gympie,Gympie,8,7,1,0,4,2016,2023
hinchinbrook,Hinchinbrook,4,4,0,0,3,2016,2017
ipswich,Ipswich,2,2,0,0,2,2019,2021
isaac,Isaac,6,5,1,0,4,2016,2021
livingstone,Livingstone,7,6,1,0,3,2015,2020
lockyervalley,Lockyer Valley,3,3,0,0,3,2017,2020
logan,Logan,4,3,1,0,2,2018,2021
longreach,Longreach,1,1,0,0,1,2017,2017
mackay,Mackay,6,5,1,0,4,2018,2022
maranoa,Maranoa,4,3,1,0,3,2017,2022
mareeba,Mareeba,6,6,0,0,3,2016,2018
mckinlay,McKinlay,1,1,0,0,1,2017,2017
moretonbay,Moreton Bay,13,11,2,0,5,2016,2023
mountisa,Mount Isa,2,2,0,0,2,2017,2020
murweh,Murweh,2,2,0,0,1,2017,2018
napranum,Napranum,1,1,0,0,1,2019,2019
noosa,Noosa,3,1,2,0,2,2016,2021
northburnett,North Burnett,6,6,0,0,4,2016,2021
northernpeninsula,Northern Peninsula Area,1,1,0,0,1,2020,2020
palm,Palm Island,1,1,0,0,1,2023,2023
paroo,Paroo,7,2,2,3,3,2016,2017
quilpie,Quilpie,4,4,0,0,3,2015,2021
redland,Redland,2,1,1,0,1,2020,2021
richmond,Richmond,1,1,0,0,1,2017,2017
rockhampton,Rockhampton,1,1,0,0,1,2020,2020
scenicrim,Scenic Rim,3,3,0,0,2,2016,2018
somerset,Somerset,5,5,0,0,3,2016,2021
southburnett,South Burnett,11,6,3,2,3,2016,2023
southerndowns,Southern Downs,6,5,1,0,3,2016,2020
sunshinecoast,Sunshine Coast,9,7,2,0,5,2017,2023
tablelands,Tablelands,3,2,1,0,2,2017,2020
toowoomba,Toowoomba,11,5,5,1,4,2016,2023
torres,Torres,1,1,0,0,1,2021,2021
torresstrait,Torres Strait Island,1,1,0,0,1,2018,2018
townsville,Townsville,3,3,0,0,3,2018,2021
westerndowns,Western Downs,7,7,0,0,4,2017,2020
whitsunday,Whitsunday,2,2,0,0,2,2017,2017
winton,Winton,1,1,0,0,1,2017,2017
yarrabah,Yarrabah,1,0,1,0,1,,
