short_name,council_name,stratum,abs_lga_code,is_indigenous_council,population_latest,essential_services_score,essential_services_inputs_used,n_above_soci_water_threshold,n_is_water_service_provider,n_mean_remoteness_score,population_vulnerability_score,population_vulnerability_inputs_used,n_seifa_irsd_score,n_avg_persons_per_bedroom,n_indigenous_share_pct,institutional_capacity_score,institutional_capacity_inputs_used,n_own_source_revenue_share,n_indoor_staff_share,n_staff_per_1000_residents,deployment_evidence_score,deployment_evidence_inputs_used,n_ai_deployment_confirmed,ai_risk_index,components_complete,adri_andri,ai_risk_rank,adri_rank,rank_shift
Aurukun,Aurukun Shire Council,indigenous,30250,True,1165,0.9567,3/3,1.0,1.0,0.8269,0.9205,3/3,0.9679,0.8782,0.9038,0.6726,3/3,0.8618,0.6233,0.2733,0.0,1/1,0.0,0.7189,4/4,0.0,3,1,-2
Balonne,Balonne Regional Council,remote,30300,False,4350,0.8958,3/3,1.0,1.0,0.5833,0.5285,3/3,0.5833,0.3718,0.6603,0.4281,3/3,0.5066,0.2671,0.4733,0.0,1/1,0.0,0.5293,4/4,0.4122,30,31,1
Banana,Banana Regional Council,outer_regional,30370,False,15144,0.8446,3/3,1.0,1.0,0.3782,0.2673,3/3,0.2308,0.3718,0.1795,0.442,3/3,0.4803,0.3219,0.5267,0.0,1/1,0.0,0.4528,4/4,0.4395,65,42,-23
Barcaldine,Barcaldine Regional Council,very_remote,30410,False,2937,0.9567,3/3,1.0,1.0,0.8269,0.1875,3/3,0.1474,0.0513,0.4423,0.4031,3/3,0.625,0.0753,0.34,0.0,1/1,0.0,0.4548,4/4,0.4428,62,44,-18
Barcoo,Barcoo Regional Council,very_remote,30450,False,321,0.9567,3/3,1.0,1.0,0.8269,0.3638,3/3,0.2756,0.3718,0.4936,0.505,3/3,0.7829,0.3562,0.0333,0.0,1/1,0.0,0.5295,4/4,0.4189,29,33,4
Blackall Tambo,Blackall Tambo Regional Council,very_remote,30760,False,1975,0.9567,3/3,1.0,1.0,0.8269,0.3692,3/3,0.4295,0.3718,0.2692,0.4444,3/3,0.6513,0.1781,0.3267,0.0,1/1,0.0,0.5127,4/4,0.4428,39,45,6
Boulia,Boulia Regional Council,very_remote,30900,False,489,0.9567,3/3,1.0,1.0,0.8269,0.7446,3/3,0.75,0.7436,0.7372,0.5092,3/3,0.7697,0.2945,0.18,0.0,1/1,0.0,0.6259,4/4,0.4189,8,34,26
Brisbane,Brisbane City Council,seq_metro,31000,False,1375301,0.4064,3/3,1.0,0.0,0.0256,0.1426,3/3,0.0192,0.3718,0.0192,0.6636,3/3,0.4671,0.8425,0.8867,1.0,1/1,1.0,0.5067,4/4,0.708,42,77,35
Bulloo,Bulloo Regional Council,very_remote,31750,False,347,0.9567,3/3,1.0,1.0,0.8269,0.4881,3/3,0.2564,0.6667,0.609,0.4973,3/3,0.5855,0.6507,0.0467,0.0,1/1,0.0,0.5582,4/4,0.3932,21,28,7
Bundaberg,Bundaberg Regional Council,regional_city,31820,False,107297,0.7917,3/3,1.0,1.0,0.1667,0.4346,3/3,0.6731,0.3718,0.141,0.3786,3/3,0.1645,0.4589,0.7933,0.0,1/1,0.0,0.4597,4/4,0.4964,59,56,-3
