theme,indicator,data_source,note
Social character,% lone person households,ABS 2011 Census of Population and Housing,Computed from census variable HCFMD (Family household composition – dwelling)
Social character,% group households,ABS 2011 Census of Population and Housing,Computed from census variable HCFMD (Family household composition – dwelling)
Social character,Sex ratio,ABS 2011 Census of Population and Housing,Computed from census variable SEXP (Sex) as the ratio of males to females
Social character,% population aged over 75,ABS 2011 Census of Population and Housing,Computed from census variable AGEP (Age)
Social character,% population aged below 15,ABS 2011 Census of Population and Housing,Computed from census variable AGEP (Age)
Social character,Ratio of certificate/postgrad attainment to year 8-12 attainment,ABS 2011 Census of Population and Housing,Computed from census variable HEAP (Level of
Social character,% population aged over,,
Social character,% population aged below,,
Social character,Ratio of,,
Social character,% of labour force unemployed,ABS 2011 Census of Population and Housing,Computed from census variable LFHRP (Labour force status and hours worked not stated)
Social character,% not in labour force,ABS 2011 Census of Population and Housing,Computed from census variable LFHRP (Labour force status and hours worked not stated)
Social character,% managers and professionals,ABS 2011 Census of Population and Housing,Computed from census variable OCCP (Occupation)
Social character,% of labour force,,
Social character,% managers and,,
Social character,% households without children,ABS 2011 Census of Population and Housing,Computed from census variable HCFMD (Family household composition – dwelling)
Social character,Median age of persons,ABS 2011 Census of Population and Housing,ABS community profile (Median age of persons)
Social character,Median total household income weekly,ABS 2011 Census of Population and Housing,ABS community profile
Social character,% households without,,
Social character,Median total household,,
Social character,% population arrived in Australia 2001 onwards,,
Social character,% of total households with all or some residents,,
Social character,% speaks English not well or not at all,,
Social character,% population with a core activity need for,,
Social character,% one parent families,,
Social character,% households with children,,
Social character,Ratio of certificate/postgrad attainment to year,,
Social character,% residents owning their home outright,ABS 2011 Census of Population and Housing,Computed from the ABS community profile
Social character,% residents owning their home with a mortgage,ABS 2011 Census of Population and Housing,Computed from the ABS community profile
Social character,% residents renting their home,ABS 2011 Census of Population and Housing,Computed from the ABS community profile
Social character,Median weekly rent ($),ABS 2011 Census of Population and Housing,ABS community profile B02 (Selected means and averages)
Social character,Median monthly mortgage repayment ($),ABS 2011 Census of Population and Housing,ABS community profile B02 (Selected means and averages)
Social character,Median weekly personal income ($),ABS 2011 Census of Population and Housing,ABS community profile B02 (Selected means and averages)
Social character,% residents owning their,,
Social character,% residents renting their,,
Social character,Median monthly,,
Social character,Median weekly personal,,
Economic capital,Median weekly family income ($),ABS 2011 Census of Population and Housing,ABS community profile B02 (Selected means and averages)
Economic capital,% families with less than $600 p.w. income,ABS 2011 Census of Population and Housing,Computed from the ABS community profile
Economic capital,"% families with more than $3,000 p.w. income",ABS 2011 Census of Population and Housing,Computed from the ABS community profile
Economic capital,% employment in largest single sector,ABS 2011 Census of Population and Housing,Computed from the ABS community profile
Economic capital,Economic Diversity Index,ABS 2011 Census of Population and Housing,Computed from the ABS community profile
Economic capital,% businesses employing 20 or more people,ABS Counts of Australian Businesses,Computed from ABS Counts of Australian
Economic capital,Median weekly family,,
Economic capital,% families with less than,,
Economic capital,% families with more than,,
Economic capital,% employment in largest,,
Economic capital,% businesses employing 20,,
Economic capital,% population change 2001 to 2011,ABS 2011 Census of Population and Housing,Computed from the ABS community profile
Economic capital,% population change,,
Economic capital,% dwellings with one or more cars,ABS 2011 Census of Population and Housing,
Economic capital,% dwellings with one or,,
Economic capital,% residents owning their home outright,,
Economic capital,% residents owning their home with a mortgage,,
Economic capital,% residents renting their home,,
Economic capital,Median weekly rent ($),,
Economic capital,Median monthly mortgage repayment ($),,
Economic capital,Median weekly personal income ($),,
Economic capital,% residents owning their home with a,,
Economic capital,Median monthly mortgage repayment,,
