short_name,drfa_activations_2010_to_2026
Aurukun,21
Balonne,19
Banana,20
Barcaldine,18
Barcoo,25
Blackall Tambo,16
Boulia,24
Brisbane,20
Bulloo,21
Bundaberg,18
Burdekin,20
Burke,23
Cairns,15
Carpentaria,27
Cassowary Coast,20
Central Highlands,21
Charters Towers,17
Cherbourg,5
Cloncurry,23
Cook,29
Croydon,21
Diamantina,21
Doomadgee,19
Douglas,16
Etheridge,23
Flinders,22
Fraser Coast,19
Gladstone,17
Gold Coast,19
Goondiwindi,18
Gympie,20
Hinchinbrook,20
Hope Vale,18
Ipswich,16
Isaac,18
Kowanyama,18
Livingstone,14
Lockhart River,16
Lockyer Valley,16
Logan,16
Longreach,20
Mackay,15
Mapoon,14
Maranoa,21
Mareeba,20
McKinlay,19
Moreton Bay,18
Mornington,19
Mount Isa,19
Murweh,17
Napranum,16
Noosa,9
North Burnett,20
Northern Peninsula Area,17
Palm Island,17
Paroo,13
Pormpuraaw,19
Quilpie,15
Redland,12
Richmond,17
Rockhampton,14
Scenic Rim,20
Somerset,17
South Burnett,18
Southern Downs,18
Sunshine Coast,16
Tablelands,23
Toowoomba,22
Torres,16
Torres Strait Island,16
Townsville,24
Weipa,1
Western Downs,23
Whitsunday,18
Winton,20
Woorabinda,5
Wujal Wujal,16
Yarrabah,15
