
Robodebt Royal Commission Implementation Update  March 2026    	|	Recommendation  	|	Government Response (summary)  	|	Status
10.1  	|	Design policies and processes with emphasis on the people they are meant to serve  Services Australia design its policies and processes with a primary emphasis on the recipients it is meant to serve.   	|	Accept  The Department of Social Services and Services Australia will work together to ensure customer and staff feedback is considered in the design of policy and processes. When considering a change to a service, before policy, investment and service delivery decisions are made, the Government will gather an evidence-based understanding of the needs of recipients, which is based on the views of recipients, and explore how the proposed changes may impact recipients.  	|	Implemented
11.1  	|	Clear documentation of exclusion criteria  Services Australia should ensure that for any cohort of recipients that is intended to be excluded from a compliance process or activity, there is clear documentation of the exclusion criteria, and, unless there is a technical reason it cannot be, the mechanism by which that is to occur should be reflected in the relevant technical specification documents.  	|	Accept  Services Australia will produce clear documentation for any exclusion criteria when any cohort of recipients is intended to be excluded from compliance or debt related activities.   	|	Implemented
11.2  	|	Identification of circumstances affecting the capacity to engage with compliance activity    Services Australia should ensure that its processes and policies in relation to the identification of potential vulnerabilities extend to the identification of circumstances affecting a recipient’s capacity to engage with any form of compliance activity.   To this end, circumstances likely to affect a recipient’s capacity to engage with compliance activities should be recorded on their file regardless of whether they are in receipt of a payment that gives rise to mutual obligations.  	|	Accept  Individual circumstances that might impact on an individual’s capacity to engage with government services, or reviews of payments and services, should be taken into account during service delivery and customer engagements.  Where an individual discloses a vulnerability, this will inform the way the agency engages with the individual in the delivery of programs and services, including connecting the customer with any additional support services. To support this, information about circumstances affecting a recipient’s capacity to engage is recorded on customer records. This information is also accessible to service delivery partners.  	|	Implemented
11.3  	|	Engagement prior to removing a vulnerability indicator from a file  Services Australia should ensure that its processes and policies in relation to the identification of potential vulnerabilities require staff to engage with a recipient prior to the removal of an indicator on their file. For this purpose, Services Australia should remove any feature that would allow for the automatic expiry of a vulnerability indicator (or equivalent flagging tool). An indicator should only be removed where a recipient, or evidence provided to the Agency in relation to the recipient, confirms that they are no longer suffering from the vulnerability to which the indicator relates.  	|	Accept  Records held by Services Australia contain notes that alert staff to circumstances where a recipient is experiencing difficulties that might affect their ability to meet mutual obligation requirements. Where an individual discloses a vulnerability, staff will use this knowledge to tailor the discussion and interaction, including the promotion of appropriate programs and services, and connect the customer to specialist supports and/or referrals to local service providers. To support this, information about circumstances affecting a person’s capacity to engage in mutual obligation requirements is recorded on customer file.  	|	Implemented
11.4  	|	Consideration of vulnerabilities affected by each compliance program, including consultation with advocacy bodies  Services Australia should incorporate a process in the design of compliance programs to consider and document the categories of vulnerable recipients who may be affected by the program, and how those recipients will be dealt with. Services Australia should consult stakeholders (including peak advocacy bodies) as part of this process to ensure that adequate provision is made to accommodate vulnerable recipients who may encounter particular difficulties engaging with the program.  	|	Accept  Services Australia will continue to seek advice and input from civil society stakeholders to improve service delivery, particularly where changes are being made and there are opportunities for co-design.  	|	Implemented
12.1  	|	Easier engagement with Centrelink  Options for easier engagement with Centrelink by advocacy groups – for example, through the creation of a national advocate’s line – should be considered.  	|	Accept  Services Australia will actively identify opportunities to engage with advocacy groups.  Services Australia will pilot an ‘advocates’ channel for legal advocates.  	|	Implemented
12.2  	|	Customer experience reference group  The government should consider establishing a customer experience reference group, which would provide streamlined insight to government regarding the experiences of people accessing income support  	|	Accept in principle  The Australian Public Sector Reform Office and Services Australia are partnering to develop evidence-based whole-of-government Service Design Standards to support agencies to design, administer and improve new and existing services and payments. The Standards will be informed by the needs and expectations of the Australian community.  	|	Implemented
12.3  	|	Consultation  Peak advocacy bodies should be consulted prior to the implementation of projects involving the modification of the social security system.  	|	Accept  The Government will consult with peak advocacy groups when implementing modifications to the social security system.  	|	Implemented
12.4  	|	Regard for funding for legal aid commissions and community legal centres  When it next conducts a review of the National Legal Assistance Partnership, the Commonwealth should have regard, in considering funding for legal aid commissions and community legal centres, to the importance of the public interest role played by those services as exemplified in their work during the Scheme.  	|	Accept  The Terms of Reference for the independent review of the National Legal Assistance Partnership 2020-25 (NLAP) required the review to evaluate whether the objectives, outcomes and outputs of the NLAP have been achieved.  	|	Implemented
13.1  	|	Consultation process  Services Australia should put in place processes for genuine and receptive consultation with front-line staff when new programs are being designed and implemented.  	|	Accept  Services Australia will ensure the experiences of front-line staff are sought and fed into design practice and service delivery policy.  	|	Implemented
